ano,sigla_uf,id_municipio,raca_cor,sexo,localizacao,idhm,idhm_l,idhm_e,idhm_r,idhm_subescolaridade,idhm_subfrequencia,prosperidade_social,proporcao_vulnerabilidade_socioeconomica,proporcao_sem_agua_esgoto,proporcao_sem_coleta,renda_per_capita,proporcao_sem_renda_18_mais,renda_trabalho,proporcao_vulneravel,razao_dependencia,fecundidade_total,taxa_envelhecimento,mortalidade_1_menos,proporcao_crianca_fora_escola_6_14,proporcao_analfabetismo_18_mais,proporcao_fundamental_completo_18_mais,proporcao_medio_completo_18_20,expectativa_vida,populacao_18_mais,populacao_65_mais
2010,RS,4321626,total,mulher,total,0.713,0.847,0.581,0.734,0.271,0.852,muito alto,0.0,0.36,0.0,772.0,8.4,62.03,8.72,49.68,1.17,18.6,11.44,1.59,3.1,27.09,71.05,75.84,923,213
2010,RS,4313409,total,mulher,total,0.76,0.864,0.655,0.778,0.552,0.713,muito alto,5.27,0.27,0.29,1011.43,1.76,68.11,14.63,40.4,1.27,8.6,11.6,2.59,3.9,55.23,46.92,76.82,92119,10813
2010,SC,4212205,total,mulher,total,0.715,0.826,0.642,0.689,0.411,0.802,muito alto,3.5,2.47,2.18,582.07,19.55,65.73,28.88,50.23,1.66,7.71,14.29,1.35,9.18,41.14,56.97,74.59,5962,672
2010,SC,4215307,total,mulher,total,0.776,0.858,0.739,0.737,0.478,0.918,muito alto,0.0,0.16,0.94,786.98,11.08,74.3,14.7,43.76,1.62,8.25,11.38,1.47,4.27,47.76,78.39,76.47,2589,298
2010,SC,4216008,total,mulher,total,0.781,0.862,0.724,0.762,0.515,0.859,muito alto,6.08,1.78,1.58,918.15,11.55,70.88,12.05,38.86,1.36,9.03,11.33,0.68,5.2,51.48,65.92,76.74,3925,459
2000,MG,3126703,total,mulher,total,0.516,0.732,0.364,0.514,0.238,0.451,muito baixo,,14.35,29.14,196.43,10.66,58.77,80.88,60.3,1.98,5.23,30.55,6.58,27.77,23.8,17.29,68.9,6895,594
2000,MG,3127370,total,mulher,total,0.544,0.727,0.419,0.53,0.253,0.539,muito baixo,,1.3,22.0,216.37,0.0,51.83,72.14,62.38,1.77,7.99,32.71,0.0,32.03,25.28,16.73,68.62,865,103
2000,MG,3130903,total,mulher,total,0.561,0.77,0.4,0.574,0.259,0.496,muito baixo,,6.66,35.98,284.5,16.22,47.55,67.2,57.29,1.74,7.91,22.94,9.34,23.09,25.91,26.55,71.21,8032,973
2000,MG,3141801,total,mulher,total,0.452,0.692,0.28,0.476,0.152,0.381,muito baixo,,20.86,14.65,154.7,25.62,54.31,83.46,87.26,2.43,4.43,36.32,7.8,38.84,15.21,10.55,66.49,7991,699
2000,MG,3148806,total,mulher,total,0.515,0.747,0.358,0.512,0.182,0.502,muito baixo,,7.18,12.03,192.97,30.91,45.54,73.97,60.66,1.87,9.8,25.88,2.91,24.43,18.24,23.21,69.83,1257,184
2000,MG,3152709,total,mulher,total,0.599,0.796,0.464,0.582,0.24,0.644,baixo,,2.32,24.06,299.46,4.63,50.98,63.2,49.19,1.47,7.19,19.42,8.37,10.86,24.05,42.04,72.75,2637,272
2000,MG,3161056,total,mulher,total,0.485,0.706,0.312,0.519,0.148,0.452,muito baixo,,12.57,47.13,201.78,25.04,49.89,79.6,58.13,1.92,5.73,33.85,8.73,38.49,14.83,27.99,67.36,1035,94
2000,MG,3171204,total,mulher,total,0.628,0.777,0.515,0.618,0.352,0.623,baixo,,3.14,19.72,374.13,1.11,74.74,53.93,52.54,1.66,3.69,21.85,4.07,11.34,35.25,32.33,71.65,24457,1415
2000,SP,3500105,total,mulher,total,0.727,0.813,0.66,0.716,0.454,0.795,muito alto,,1.31,0.41,689.88,4.03,64.42,29.5,48.44,1.42,10.37,15.5,0.81,12.93,45.45,64.28,73.81,12450,1768
2000,SP,3501707,total,mulher,total,0.657,0.779,0.562,0.646,0.362,0.701,médio,,0.0,0.54,446.8,1.25,71.44,39.73,50.44,1.67,3.54,21.02,3.1,11.73,36.22,47.11,71.73,9068,489
2000,SP,3508009,total,mulher,total,0.555,0.761,0.378,0.595,0.256,0.46,muito baixo,,2.69,2.48,324.93,4.97,62.32,59.83,61.37,2.07,5.47,24.23,12.74,15.91,25.59,22.39,70.63,5014,452
2000,SP,3516507,total,mulher,total,0.659,0.793,0.564,0.641,0.357,0.709,alto,,0.79,0.0,430.61,7.08,74.06,33.03,47.64,1.4,10.33,17.75,7.78,15.16,35.67,52.86,72.61,975,136
2000,SP,3521101,total,mulher,total,0.676,0.8,0.546,0.708,0.332,0.699,alto,,0.67,0.0,656.49,2.67,70.39,31.97,51.52,1.63,6.02,17.89,5.29,8.68,33.24,28.87,72.97,1373,123
2000,SP,3542206,total,mulher,total,0.696,0.798,0.633,0.667,0.424,0.773,médio,,0.95,0.81,508.45,2.64,66.13,43.34,51.49,1.65,7.78,18.04,1.67,12.17,42.42,55.77,72.91,9859,1126
2000,SP,3544806,total,mulher,total,0.655,0.795,0.553,0.64,0.358,0.687,baixo,,0.97,0.93,428.43,6.44,64.78,47.44,48.44,1.59,7.34,19.82,4.36,17.66,35.84,52.86,72.71,1548,164
2000,SP,3555604,total,mulher,total,0.677,0.798,0.594,0.655,0.32,0.809,baixo,,0.0,1.19,469.98,1.43,63.89,39.72,54.35,1.58,12.19,17.96,2.47,16.68,31.96,49.01,72.86,3245,547
2000,SP,3501301,total,mulher,total,0.676,0.802,0.583,0.661,0.365,0.737,médio,,2.52,4.27,488.21,2.94,69.96,43.71,49.69,1.67,5.91,17.96,4.19,11.81,36.51,47.81,73.13,7520,663
2000,SP,3545803,total,mulher,total,0.688,0.804,0.578,0.701,0.398,0.697,médio,,0.39,0.76,626.46,1.57,74.04,20.71,45.85,1.48,5.7,16.7,2.95,7.9,39.78,40.93,73.23,58274,4819
2000,SP,3547809,total,mulher,total,0.757,0.834,0.671,0.777,0.541,0.747,alto,,0.3,0.13,1004.99,2.06,76.03,18.97,43.44,1.32,8.12,13.74,3.27,5.66,54.09,53.99,75.04,242762,26858
2010,MG,3101706,total,mulher,total,0.652,0.777,0.569,0.627,0.399,0.679,médio,0.0,1.53,3.9,395.98,15.12,58.74,53.0,50.89,1.48,9.49,21.93,1.7,26.17,39.88,34.27,71.59,13497,1826
2010,MG,3105905,total,mulher,total,0.721,0.818,0.685,0.669,0.481,0.817,muito alto,0.0,0.19,0.51,515.16,6.03,63.04,37.93,44.82,1.34,8.85,15.49,0.0,6.62,48.14,60.51,74.09,7397,898
2010,MG,3111903,total,mulher,total,0.659,0.817,0.543,0.645,0.329,0.698,médio,19.41,0.1,0.23,441.58,10.48,47.72,36.3,47.76,1.47,11.28,15.6,0.0,13.42,32.93,33.58,74.04,2029,316
2010,MG,3112307,total,mulher,total,0.649,0.793,0.546,0.632,0.391,0.645,médio,2.89,8.04,2.26,409.35,11.37,67.39,49.83,54.56,1.75,6.31,19.54,2.61,21.89,39.15,25.58,72.58,11404,1121
2010,MG,3113107,total,mulher,total,0.658,0.815,0.594,0.588,0.353,0.771,médio,7.93,4.31,0.34,309.82,35.36,36.0,51.79,48.55,1.53,10.98,16.76,0.46,9.17,35.29,44.49,73.89,1196,177
